SC,RC,RN,year,rainfall
4,9,Arizona West,2040,200
4,9,Arizona West,2041,124
4,9,Arizona West,2042,59
4,9,Arizona West,2043,402
4,9,Arizona West,2044,178
4,9,Arizona West,2045,164
4,9,Arizona West,2046,128
4,9,Arizona West,2047,86
4,9,Arizona West,2048,146
4,9,Arizona West,2049,191
4,9,Arizona West,2050,146
4,9,Arizona West,2051,243
4,9,Arizona West,2052,132
4,9,Arizona West,2053,172
4,9,Arizona West,2054,75
4,9,Arizona West,2055,134
4,9,Arizona West,2056,191
4,9,Arizona West,2057,81
4,9,Arizona West,2058,435
4,9,Arizona West,2059,128
4,9,Arizona West,2060,219
4,9,Arizona West,2061,219
4,9,Arizona West,2062,183
4,9,Arizona West,2063,250
4,9,Arizona West,2064,140
4,9,Arizona West,2065,240
4,9,Arizona West,2066,74
4,9,Arizona West,2067,87
4,9,Arizona West,2068,165
4,9,Arizona West,2069,57
4,9,Arizona West,2070,196
4,9,Arizona West,2071,57
4,9,Arizona West,2072,231
4,9,Arizona West,2073,145
4,9,Arizona West,2074,93
4,9,Arizona West,2075,187
4,9,Arizona West,2076,88
4,9,Arizona West,2077,425
4,9,Arizona West,2078,164
4,9,Arizona West,2079,94
4,9,Arizona West,2080,402
4,10,Arizona North,2020,202
4,10,Arizona North,2021,178
4,10,Arizona North,2022,99
4,10,Arizona North,2023,90
4,10,Arizona North,2024,292
4,10,Arizona North,2025,98
4,10,Arizona North,2026,178
4,10,Arizona North,2027,81
4,10,Arizona North,2028,147
4,10,Arizona North,2029,138
4,10,Arizona North,2030,114
4,10,Arizona North,2031,26
4,10,Arizona North,2032,208
4,10,Arizona North,2033,151
4,10,Arizona North,2034,124
4,10,Arizona North,2035,189
4,10,Arizona North,2036,198
4,10,Arizona North,2037,176
4,10,Arizona North,2038,71
4,10,Arizona North,2039,80
4,10,Arizona North,2040,177
4,10,Arizona North,2041,106
4,10,Arizona North,2042,82
4,10,Arizona North,2043,382
4,10,Arizona North,2044,167
4,10,Arizona North,2045,190
4,10,Arizona North,2046,121
4,10,Arizona North,2047,110
4,10,Arizona North,2048,149
4,10,Arizona North,2049,195
4,10,Arizona North,2050,150
4,10,Arizona North,2051,262
4,10,Arizona North,2052,117
4,10,Arizona North,2053,191
4,10,Arizona North,2054,78
4,10,Arizona North,2055,159
4,10,Arizona North,2056,219
4,10,Arizona North,2057,120
4,10,Arizona North,2058,447
4,10,Arizona North,2059,134
4,10,Arizona North,2060,223
4,10,Arizona North,2061,245
4,10,Arizona North,2062,174
4,10,Arizona North,2063,247
4,10,Arizona North,2064,138
4,10,Arizona North,2065,234
4,10,Arizona North,2066,94
4,10,Arizona North,2067,96
4,10,Arizona North,2068,170
4,10,Arizona North,2069,54
4,10,Arizona North,2070,187
4,10,Arizona North,2071,54
4,10,Arizona North,2072,221
4,10,Arizona North,2073,133
4,10,Arizona North,2074,85
4,10,Arizona North,2075,175
4,10,Arizona North,2076,66
4,10,Arizona North,2077,424
4,10,Arizona North,2078,175
4,10,Arizona North,2079,113
4,10,Arizona North,2080,382
4,23,Arizona Southeast,2020,0
4,23,Arizona Southeast,2021,0
4,23,Arizona Southeast,2022,0
4,23,Arizona Southeast,2023,0
4,23,Arizona Southeast,2024,0
4,23,Arizona Southeast,2025,0
4,23,Arizona Southeast,2026,0
4,23,Arizona Southeast,2027,0
4,23,Arizona Southeast,2028,0
4,23,Arizona Southeast,2029,0
4,23,Arizona Southeast,2030,0
4,23,Arizona Southeast,2031,0
4,23,Arizona Southeast,2032,0
4,23,Arizona Southeast,2033,0
4,23,Arizona Southeast,2034,0
4,23,Arizona Southeast,2035,0
4,23,Arizona Southeast,2036,0
4,23,Arizona Southeast,2037,0
4,23,Arizona Southeast,2038,0
4,23,Arizona Southeast,2039,0
4,23,Arizona Southeast,2040,0
4,23,Arizona Southeast,2041,0
4,23,Arizona Southeast,2042,0
4,23,Arizona Southeast,2043,0
4,23,Arizona Southeast,2044,0
4,23,Arizona Southeast,2045,0
4,23,Arizona Southeast,2046,0
4,23,Arizona Southeast,2047,0
4,23,Arizona Southeast,2048,0
4,23,Arizona Southeast,2049,0
4,23,Arizona Southeast,2050,0
4,23,Arizona Southeast,2051,0
4,23,Arizona Southeast,2052,0
4,23,Arizona Southeast,2053,0
4,23,Arizona Southeast,2054,0
4,23,Arizona Southeast,2055,0
4,23,Arizona Southeast,2056,0
4,23,Arizona Southeast,2057,0
4,23,Arizona Southeast,2058,0
4,23,Arizona Southeast,2059,0
4,23,Arizona Southeast,2060,0
4,23,Arizona Southeast,2061,0
4,23,Arizona Southeast,2062,0
4,23,Arizona Southeast,2063,0
4,23,Arizona Southeast,2064,0
4,23,Arizona Southeast,2065,0
4,23,Arizona Southeast,2066,0
4,23,Arizona Southeast,2067,0
4,23,Arizona Southeast,2068,0
4,23,Arizona Southeast,2069,0
4,23,Arizona Southeast,2070,0
4,23,Arizona Southeast,2071,0
4,23,Arizona Southeast,2072,0
4,23,Arizona Southeast,2073,0
4,23,Arizona Southeast,2074,0
4,23,Arizona Southeast,2075,0
4,23,Arizona Southeast,2076,0
4,23,Arizona Southeast,2077,0
4,23,Arizona Southeast,2078,0
4,23,Arizona Southeast,2079,0
4,23,Arizona Southeast,2080,0
4,24,Arizona Central North,2020,214
4,24,Arizona Central North,2021,183
4,24,Arizona Central North,2022,61
4,24,Arizona Central North,2023,121
4,24,Arizona Central North,2024,280
4,24,Arizona Central North,2025,87
4,24,Arizona Central North,2026,196
4,24,Arizona Central North,2027,101
4,24,Arizona Central North,2028,148
4,24,Arizona Central North,2029,149
4,24,Arizona Central North,2030,87
4,24,Arizona Central North,2031,24
4,24,Arizona Central North,2032,193
4,24,Arizona Central North,2033,155
4,24,Arizona Central North,2034,108
4,24,Arizona Central North,2035,192
4,24,Arizona Central North,2036,213
4,24,Arizona Central North,2037,169
4,24,Arizona Central North,2038,84
4,24,Arizona Central North,2039,73
4,24,Arizona Central North,2040,199
4,24,Arizona Central North,2041,129
4,24,Arizona Central North,2042,66
4,24,Arizona Central North,2043,401
4,24,Arizona Central North,2044,167
4,24,Arizona Central North,2045,163
4,24,Arizona Central North,2046,118
4,24,Arizona Central North,2047,93
4,24,Arizona Central North,2048,142
4,24,Arizona Central North,2049,204
4,24,Arizona Central North,2050,149
4,24,Arizona Central North,2051,256
4,24,Arizona Central North,2052,95
4,24,Arizona Central North,2053,192
4,24,Arizona Central North,2054,87
4,24,Arizona Central North,2055,166
4,24,Arizona Central North,2056,219
4,24,Arizona Central North,2057,118
4,24,Arizona Central North,2058,435
4,24,Arizona Central North,2059,123
4,24,Arizona Central North,2060,251
4,24,Arizona Central North,2061,266
4,24,Arizona Central North,2062,183
4,24,Arizona Central North,2063,263
4,24,Arizona Central North,2064,138
4,24,Arizona Central North,2065,251
4,24,Arizona Central North,2066,88
4,24,Arizona Central North,2067,117
4,24,Arizona Central North,2068,193
4,24,Arizona Central North,2069,42
4,24,Arizona Central North,2070,192
4,24,Arizona Central North,2071,48
4,24,Arizona Central North,2072,216
4,24,Arizona Central North,2073,143
4,24,Arizona Central North,2074,99
4,24,Arizona Central North,2075,182
4,24,Arizona Central North,2076,94
4,24,Arizona Central North,2077,456
4,24,Arizona Central North,2078,201
4,24,Arizona Central North,2079,102
4,24,Arizona Central North,2080,401
6,1,California Southwest,2020,179
6,1,California Southwest,2021,168
6,1,California Southwest,2022,102
6,1,California Southwest,2023,96
6,1,California Southwest,2024,273
6,1,California Southwest,2025,67
6,1,California Southwest,2026,174
6,1,California Southwest,2027,71
6,1,California Southwest,2028,159
6,1,California Southwest,2029,114
6,1,California Southwest,2030,70
6,1,California Southwest,2031,30
6,1,California Southwest,2032,205
6,1,California Southwest,2033,116
6,1,California Southwest,2034,103
6,1,California Southwest,2035,183
6,1,California Southwest,2036,200
6,1,California Southwest,2037,178
6,1,California Southwest,2038,79
6,1,California Southwest,2039,83
6,1,California Southwest,2040,140
6,1,California Southwest,2041,112
6,1,California Southwest,2042,82
6,1,California Southwest,2043,360
6,1,California Southwest,2044,164
6,1,California Southwest,2045,160
6,1,California Southwest,2046,150
6,1,California Southwest,2047,60
6,1,California Southwest,2048,141
6,1,California Southwest,2049,175
6,1,California Southwest,2050,146
6,1,California Southwest,2051,210
6,1,California Southwest,2052,117
6,1,California Southwest,2053,134
6,1,California Southwest,2054,115
6,1,California Southwest,2055,154
6,1,California Southwest,2056,206
6,1,California Southwest,2057,93
6,1,California Southwest,2058,420
6,1,California Southwest,2059,100
6,1,California Southwest,2060,219
6,1,California Southwest,2061,237
6,1,California Southwest,2062,174
6,1,California Southwest,2063,233
6,1,California Southwest,2064,137
6,1,California Southwest,2065,229
6,1,California Southwest,2066,113
6,1,California Southwest,2067,51
6,1,California Southwest,2068,166
6,1,California Southwest,2069,66
6,1,California Southwest,2070,210
6,1,California Southwest,2071,89
6,1,California Southwest,2072,197
6,1,California Southwest,2073,109
6,1,California Southwest,2074,82
6,1,California Southwest,2075,203
6,1,California Southwest,2076,94
6,1,California Southwest,2077,391
6,1,California Southwest,2078,197
6,1,California Southwest,2079,115
6,1,California Southwest,2080,360
6,2,California Southeast,2020,200
6,2,California Southeast,2021,179
6,2,California Southeast,2022,94
6,2,California Southeast,2023,112
6,2,California Southeast,2024,260
6,2,California Southeast,2025,97
6,2,California Southeast,2026,193
6,2,California Southeast,2027,99
6,2,California Southeast,2028,115
6,2,California Southeast,2029,130
6,2,California Southeast,2030,78
6,2,California Southeast,2031,43
6,2,California Southeast,2032,202
6,2,California Southeast,2033,145
6,2,California Southeast,2034,83
6,2,California Southeast,2035,166
6,2,California Southeast,2036,188
6,2,California Southeast,2037,166
6,2,California Southeast,2038,60
6,2,California Southeast,2039,80
6,2,California Southeast,2040,154
6,2,California Southeast,2041,140
6,2,California Southeast,2042,84
6,2,California Southeast,2043,337
6,2,California Southeast,2044,151
6,2,California Southeast,2045,154
6,2,California Southeast,2046,103
6,2,California Southeast,2047,57
6,2,California Southeast,2048,156
6,2,California Southeast,2049,211
6,2,California Southeast,2050,131
6,2,California Southeast,2051,230
6,2,California Southeast,2052,100
6,2,California Southeast,2053,160
6,2,California Southeast,2054,77
6,2,California Southeast,2055,139
6,2,California Southeast,2056,178
6,2,California Southeast,2057,78
6,2,California Southeast,2058,406
6,2,California Southeast,2059,118
6,2,California Southeast,2060,216
6,2,California Southeast,2061,245
6,2,California Southeast,2062,168
6,2,California Southeast,2063,225
6,2,California Southeast,2064,148
6,2,California Southeast,2065,219
6,2,California Southeast,2066,97
6,2,California Southeast,2067,69
6,2,California Southeast,2068,160
6,2,California Southeast,2069,51
6,2,California Southeast,2070,189
6,2,California Southeast,2071,72
6,2,California Southeast,2072,207
6,2,California Southeast,2073,141
6,2,California Southeast,2074,62
6,2,California Southeast,2075,174
6,2,California Southeast,2076,76
6,2,California Southeast,2077,396
6,2,California Southeast,2078,181
6,2,California Southeast,2079,93
6,2,California Southeast,2080,337
6,4,California North,2020,238
6,4,California North,2021,205
6,4,California North,2022,75
6,4,California North,2023,112
6,4,California North,2024,341
6,4,California North,2025,96
6,4,California North,2026,214
6,4,California North,2027,98
6,4,California North,2028,151
6,4,California North,2029,167
6,4,California North,2030,108
6,4,California North,2031,73
6,4,California North,2032,235
6,4,California North,2033,166
